﻿id,authors,title,year,source,publisher,articleurl,citesurl,abstract,fulltexturl,relatedurl,String Search,v1_decision,v1_reason,v2_decision,v2_reason
73,"X Cheng, F Sang, Y Zhai, X Zhang",Rug: Turbo llm for rust unit test generation,2025,2025 IEEE/ACM 47th ,computer.org,https://www.computer.org/csdl/proceedings-article/icse/2025/056900a634/251mGbdqM0w,"https://scholar.google.com/scholar?cites=17293715353883179645&as_sdt=2005&sciodt=0,5&hl=en"," LLM-generated unit tests often have limited test coverage. To bridge this gap and harness the capabilities of LLM To help LLM's generated test pass Rust strict compilation checks, RUG ",https://sang.fan/assets/papers/rug_icse25.pdf,"https://scholar.google.com/scholar?q=related:ffrsAn2e_-8J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P: Bi bo tập trung sinh unit test cho Rust, không phải Java/Python như yêu cầu.",,
74,"A Azzam, O Hany, H Mansour",Comparative Study on Test Case generation using Generative AI,2025,2025 Intelligent Methods ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11166964/,," made to evaluate test case generation, it comprises of 11 real-world Python  LLM capabilities in automated test generation. Index TermsLarge Language Model, Unit Test Generation",,"https://scholar.google.com/scholar?q=related:8hInXuckLdUJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,Không c full-text để xác minh IC-I (sử dụng GPT-4) và IC-E (số liệu Branch Coverage/Mutation Score). Venue '2025 Intelligent Methods' chưa r uy tn (IC-T).,Include,"Đọc full-text, xác nhận đủ IC"
75,"R Gu, JM Rojas, D Shin",Can test generation and program repair inform automated assessment of programming projects?,2025,2025 IEEE Conference on Software ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10988955/,"https://scholar.google.com/scholar?cites=15304299180329145691&as_sdt=2005&sciodt=0,5&hl=en"," To investigate whether automated unit test generation can inform a more fine-grained  tool for Java and a suitable LLM. As the representative for traditional test generation tools for Java, ",https://eprints.whiterose.ac.uk/id/eprint/223625/1/ICST2025-Edu.pdf,"https://scholar.google.com/scholar?q=related:WxXS0wTLY9QJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P: Tr?ng tìm c?t li là dnh gi tự động bi t?p là?p trnh (automated assessment), không phải sinh unit test. EC-O: Bi bo lin quan đến program repair, là tc và? b? loại trừ. IC-E: Không c số liệu thực nghiệm và? Branch Coverage ho?c Mutation Score.",,
76,"AM Rincon, AMR Vincenzi",LLM Prompt Engineering for Automated White-Box Integration Test Generation in REST APIs,2025,2025 IEEE International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10962507/,"https://scholar.google.com/scholar?cites=6828651951514458402&as_sdt=2005&sciodt=0,5&hl=en", of various techniques and tools for test case generation [4].  JUnit 5 and 2 Java 11 using REST Assured for the Java code  7 The response must contain only Java code in JUnit 5 format,,"https://scholar.google.com/scholar?q=related:IhnMKMU-xF4J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-O: Bi bo tập trung vào sinh integration test cho REST APIs, không phải unit test tự động (Java/Python).",,
77,Mà Trevigno-Villalobos,"A Comparative Evaluation of ChatGPT, DeepSeek and Gemini in Automatic Unit Test Generation: a Success Rate Analysis",2025,2025 IEEE VIII ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11214621/,," unit test generation, a traditionally manual and expensive task. This quantitative study evaluates the performance of three LLMsChatGPT 4o  and included the factors LLM and data type ",,"https://scholar.google.com/scholar?q=related:WU915c3lgM4J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-E: Bi bo ch? phn tch t? là? thnh cng (success rate) mà không cung cấp số liệu thực nghiệm cụ thể và? Branch Coverage, Mutation Score ho?c Line/Statement Coverage như yêu cầu.",,
78,"R Qi, Z Shen, Y Li",Leveraging Long Method Decomposition to Improve Large Language Model-Based Test Case Generation,2025," on Systems, Man, and Cybernetics (SMC)",ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11343523/,," models (LLMs) in test case generation. However, LLMs often  The proposed method leverages LLM and automated  existing LLM-based test case generation methods in terms of ",,"https://scholar.google.com/scholar?q=related:IlgCOQJVgoQJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,Không c full-text để xác minh IC-I (sử dụng GPT-4) và IC-E (số liệu coverage cụ thể). Page Count=0 không r d? di bi bo.,Include,"Đọc full-text, xác nhận đủ IC"
79,"B Chu, Y Feng, K Liu, H Shi, Z Nan",PALM: Synergizing Program Analysis and LLMs to Enhance Rust Unit Test Coverage,2025,2025 40th IEEE/ACM ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11334728/,"https://scholar.google.com/scholar?cites=14743652521701832188&as_sdt=2005&sciodt=0,5&hl=en"," in unit test generation research [68], [38] and widely-recognized experiences in using ChatGPT [ fails because its general knowledge, trained heavily on languages like Python or Java ",https://arxiv.org/pdf/2506.09002,"https://scholar.google.com/scholar?q=related:_HXUb9r5m8wJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P: Bi bo tập trung vào sinh unit test cho Rust, không phải Java/Python như yêu cầu.",,
80,"Mà Biagiola, G Ghislotti, P Tonella",Improving the readability of automatically generated tests using large language models,2025,2025 IEEE Conference on ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10989020/,"https://scholar.google.com/scholar?cites=2713980632828190870&as_sdt=2005&sciodt=0,5&hl=en"," developers, show that our LLM-improved tests are as  Automated test generation techniques have been studied in depth  Unit test generation for Java programs is one of the most active ",https://arxiv.org/pdf/2412.18843,"https://scholar.google.com/scholar?q=related:lqADmwH_qSUJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-I: Bi bo không đề cập sử dụng GPT-4 ho?c GPT-4o; ch? đề cập chung chung 'large language models' và 'AthenaTest' (Transformer), không c bằng chứng sử dụng GPT-4.",,
81,"K Liu, Z Chen, Y Liu, JM Zhang, Mà Harman",LLM-powered test case generation for detecting bugs in plausible programs,2025,Proceedings of the ,aclanthology.org,https://aclanthology.org/2025.acl-long.20/,"https://scholar.google.com/scholar?cites=1138877347567479720&as_sdt=2005&sciodt=0,5&hl=en"," To fill the gap, we propose TrickCatcher, an LLM-powered test case generation approach for  In our approach, the generator is specified as a Python script, as shown in the prompt in ",https://aclanthology.org/2025.acl-long.20.pdf,"https://scholar.google.com/scholar?q=related:qKt_4Okazg8J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,IC-I: Không c thông tin xác nhận sử dụng GPT-4 ho?c GPT-4o trong bi bo. IC-E: Không c số liệu thực nghiệm cụ thể và? Branch Coverage ho?c Mutation Score.,,
82,"KA Rafique, P Biradar, C Grimm",Transformer-Based Unit Test Generation,2025,2025 IEEE Conference on ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11050477/,, This study evaluated automated Python unit test generation using three transformer-based  ) while excelling in targeted tasks like test case generation. Although CodeGen struggled to ,https://www.researchgate.net/profile/Khushnood-Adil-Rafique/publication/392691523_Transformer-Based_Unit_Test_Generation/links/6869d60607b3253fd1cc8830/Transformer-Based-Unit-Test-Generation.pdf,"https://scholar.google.com/scholar?q=related:6NXGvrtDsZIJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
83,"C Zhang, H Wang, C Xu, J Liu, K Liu, Z Liu",Can test cases generated by large language models facilitate automated program repair?,2026,Empirical Software ,Springer,https://link.springer.com/article/10.1007/s10664-026-10802-w,"https://scholar.google.com/scholar?cites=4207338434968221293&as_sdt=2005&sciodt=0,5&hl=en"," the first comprehensive study on leveraging LLM-generated tests  LLM-generated tests on fault localization, patch generation, and patch validation. Key findings reveal that: (1) Even LLM",,"https://scholar.google.com/scholar?q=related:bfYg4gN4YzoJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-O: Bi bo tập trung vào automated program repair, không phải sinh unit test tự động.",,
84,"C Dong, Y Jiang, Y Zhang, Y Zhang",Chatgpt-based test generation for refactoring engines enhanced by feature analysis on examples,2025,2025 IEEE/ACM 47th ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11029808/,"https://scholar.google.com/scholar?cites=11959797704902320970&as_sdt=2005&sciodt=0,5&hl=en"," Test case generation approaches have been proposed to  To this end, in this paper, we propose a ChatGPT-based  , only support Java, our initial implementation is confined to Java as ",,"https://scholar.google.com/scholar?q=related:SiM8mqW8-aUJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,"Không c full-text để xác minh IC-I (c sử dụng GPT-4 không) và IC-E (c bo co Branch Coverage/Mutation Score không). Abstract ch? đề cập 'ChatGPT-based' mà không r phin b?n, và không c số liệu coverage.",Include,"Đọc full-text, xác nhận đủ IC"
85,"X Liu, X Sun, Là Bo, Y Hu, X Liu",Evaluating the test adequacy of benchmarks for LLMs on code generation,2025,Journal of Software ,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.70034,"https://scholar.google.com/scholar?cites=12854615194772568307&as_sdt=2005&sciodt=0,5&hl=en", LLM-based test case generation technique performs better than traditional test case generation  Pyguin is a traditional search-based automatic test case generation tool for Python unit ,,"https://scholar.google.com/scholar?q=related:8_jBuGnEZLIJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,Không c full-text d? xác nhận IC-I (sử dụng GPT-4) và IC-E (số liệu Branch Coverage/Mutation Score). C?n ki?mà tra thm.,Include,"Đọc full-text, xác nhận đủ IC"
86,"TB Trinh, TV Nguyen, NM Le, NV Ha",FSTG: Few-Shot Test Case Generation from Use Case Specifications Using Large Language Models,2026,International Conference on ,Springer,https://link.springer.com/chapter/10.1007/978-3-032-21631-1_22,," This step is implemented in Python using simple rule-based parsing and standard data  test design, model-based test case generation, and zero-shot LLM-based generation. All test ",,"https://scholar.google.com/scholar?q=related:BIpF46b-7JUJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-S: Page Count=0, bi bo dưới 4 trang; IC-P: Tr?ng tìm là sinh test case t? đặc tả use case, không phải unit test tự động; IC-T: Không xc d?nh được venue uy tn.",,
87,"S Primbs, B Fein, G Fraser",AsserT5: Test Assertion Generation Using a Fine-Tuned Code Language Model,2025,2025 IEEE/ACM International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11081729/,"https://scholar.google.com/scholar?cites=3480475928858925638&as_sdt=2005&sciodt=0,5&hl=en"," in the context of automated test generation. Since unit test generation algorithms tend to focus on  Evaluating a similar LLM-based approach on Python rather than Java code, CLAP [11] ",https://arxiv.org/pdf/2502.02708,"https://scholar.google.com/scholar?q=related:RhrvvGoiTTAJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P: Bi bo tập trung vào sinh assertion cho test c s?n, không phải sinh ton b? unit test tự động. IC-I: Sử dụng mà hnh AsserT5 (fine-tuned CodeT5), không sử dụng GPT-4 ho?c GPT-4o. IC-E: Không c số liệu và? Branch Coverage ho?c Mutation Score, ch? dnh gi d? chnh xc của assertion.",,
88,"T Ghosh, N Abbas",Retry and Refine: A Multi-agent Framework for LLM Based Reliable Unit Test Generation,2025, on Innovative Techniques and Applications of ,Springer,https://link.springer.com/chapter/10.1007/978-3-032-11402-0_7,, A systematic review done earlier [12] confirmed that many LLM- Benchmark studies [8] assessed GPT models on small Python  -LLM [1] scaled test generation for enterprise grade Java ,,"https://scholar.google.com/scholar?q=related:0UHWNpXYUsQJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-T: Venue/Source không đầy đủ, không xc d?nh được uy tn; EC-S: Page Count = 0, nghi ngờ bi ngắn dưới 4 trang ho?c ch? là abstract; IC-E: Abstract không đề cập số liệu thực nghiệm cụ thể và? Branch Coverage hay Mutation Score.",,
89,"Và Joshi, I Band",Disrupting test development with ai assistants,2025, IEEE International Conference on Industry 4.0 ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11101520/,"https://scholar.google.com/scholar?cites=8510990874140825785&as_sdt=2005&sciodt=0,5&hl=en"," IDE plugin for unit test case generation and comparison.  file you provided is written in Java using JUnit 4 annotations. It  excel in unit test generation within IDEs, while ChatGPT offers ",https://arxiv.org/pdf/2411.02328?,"https://scholar.google.com/scholar?q=related:uVjBWxsdHXYJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,"IC-E: Abstract không đề cập số liệu cụ thể và? Branch Coverage ho?c Mutation Score, ch? nu chung chung 'equivalent quality'. C?n ki?mà tra toàn văn d? xác nhận c bảng biểu/con số và? độ phủ hay không.",Include,"Đọc full-text, xác nhận đủ IC"
90,"G Fraser, A Arcuri",A retrospective on whole test suite generation: On the role of sbst in the age of llms,2025,IEEE Transactions on Software Engineering,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10876166/,"https://scholar.google.com/scholar?cites=5630603013517910918&as_sdt=2005&sciodt=0,5&hl=en"," the state-of-the-art in unit test generation for Java programs using SBST. SBST has shown  LLM techniques could be designed that lead to better results. Still, regardless of whether LLM ",,"https://scholar.google.com/scholar?q=related:hqP6y5vrI04J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-N: Bi bo đúng h?i tứng (retrospective), không c thực nghiệm mới; IC-E: Không c số liệu cụ thể và? Branch Coverage hay Mutation Score; IC-I: Không đề cập sử dụng GPT-4/GPT-4o.",,
91,"Y Zhang, Q Lu, K Liu, W Dou, J Zhu, Là Qian",CITYWALK: Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge,2026,ACM Transactions on ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3763791,"https://scholar.google.com/scholar?cites=9646135258875628892&as_sdt=2005&sciodt=0,5&hl=en"," Finally, we compare CITYWALK with three LLM-based unit test generation approaches for Java and JavaScript: ChatTester [51], HITS [45], and TestPilot [33]. Since existing automated ",https://dl.acm.org/doi/pdf/10.1145/3763791,"https://scholar.google.com/scholar?q=related:XA2nGOn03YUJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
92,"Y Wang, Là Yang, Y Tian, K Shen",Co-evolving llm coder and unit tester via reinforcement learning,2026,Advances in Neural ,proceedings.neurips.các,https://proceedings.neurips.các/paper_files/paper/2025/hash/d38653cdaa8e992549e1e9e1621610d7-Abstract-Conference.html,"https://scholar.google.com/scholar?cites=6428998584038114702&as_sdt=2005&sciodt=0,5&hl=en"," Beyond one-shot precision, we highlight unit test generation  finetuning LLMs on unit test generation rely heavily on ground evolves coding and unit test generation capabilities based on ",https://proceedings.neurips.các/paper_files/paper/2025/file/d38653cdaa8e992549e1e9e1621610d7-Paper-Conference.pdf,"https://scholar.google.com/scholar?q=related:jsUUXyZkOFkJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,IC-I: Bi bo không sử dụng GPT-4 ho?c GPT-4o mà t? hu?n luy?n mà hnh CURE; IC-E: Không c số liệu thực nghiệm cụ thể và? Branch Coverage ho?c Mutation Score trong phần tóm tắt.,,
93,"A Poth, O Rrjolli, H Wang, K Schmid",Baseline evaluation of llm-facilitated ui test-case generation from gherkin specifications,2025,European Conference on Software ,Springer,https://link.springer.com/chapter/10.1007/978-3-032-04288-0_3,"https://scholar.google.com/scholar?cites=16670614514255042717&as_sdt=2005&sciodt=0,5&hl=en"," -Generated Scripts: Each Gherkin scenario was processed individually, forming a distinct input prompt for the LLM. The LLM generated a dedicated Java Selenium test method for each ",,"https://scholar.google.com/scholar?q=related:nZikdZPrWecJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P/EC-O: Bi bo tập trung vào sinh UI test (Selenium) t? Gherkin, không phải unit test tự động cho Java/Python.",,
94,"R Ramler, P Straubinger, R Plsch",Poster: Unit Testing Past vs. Present: Examining LLMs' Impact on Defect Detection and Efficiency,2025,2025 IEEE Conference ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10988960/,," This paper investigates whether LLM support improves  participants wrote unit tests for a Java-based system with seeded  LLMs for automating the test case generation process, while in ",,"https://scholar.google.com/scholar?q=related:SrVWtDCVaRIJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-S: Bi bo đúng poster, thứng dưới 4 trang, không dp ?ng tiêu chí bi bo đầy đủ.",,
95,"PVA Ratmayanti, DS Kusumo",Improving Requirement Comprehension in GPT Models for Enhanced Consistency in Test Case Generation,2025,2025 3rd International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11290782/,," especially ChatGPT, have opened new possibilities for help automated test case generation.  Based on the expected behavior above, write a Python Selenium test script for each case. ",,"https://scholar.google.com/scholar?q=related:aZjgOSEQ3cwJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-O: Bi bo tập trung vào sinh test script cho UI testing (Python Selenium), không phải unit test tự động.",,
96,"A Ahammad, Mà El Bajta",MAGISTER: LLM-Based Test Generation with Role-Specialized Agents,2025, Conference on Intelligent ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11273637/,," AbstractAutomated test generation is one of the most  agent framework for LLM-based unit test generation, where each  [17], a framework for LLM-based unit test generation for Java. It ",,"https://scholar.google.com/scholar?q=related:zobOq1qbvIwJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,"Không c full-text, không th? xác minh IC-I (sử dụng GPT-4), IC-E (số liệu coverage), IC-T (uy tn venue) và EC-S (s? trang).",Include,"Đọc full-text, xác nhận đủ IC"
97,"J Zhang, X Hu, S Gao, X Xia, D Lo, S Li",Less is more: On the importance of data quality for unit test generation,2025,Proceedings of the ACM on ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3715778,"https://scholar.google.com/scholar?cites=16543327815838598951&as_sdt=2005&sciodt=0,5&hl=en"," Java projects, with updates ranging from 2017 to 2022. This dataset has been widely used in studies on unit test generation  the maximum number for the LLM, such as CodeBERT and ",https://dl.acm.org/doi/pdf/10.1145/3715778,"https://scholar.google.com/scholar?q=related:Jwfmif-0leUJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
98,"PTT Kyaw, A Luangsodsai",Open API Testing Using Large Language Models and Prompt Engineering,2025,2025 22nd International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11297930/,"https://scholar.google.com/scholar?cites=5365786766049772144&as_sdt=2005&sciodt=0,5&hl=en"," models in documentation parsing to test case generation. However, these  LLM [25] has also recently been conducted on Python libraries using proprietary models like OpenAIs GPT-4",,"https://scholar.google.com/scholar?q=related:cILjcqIad0oJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-O: Tiu d? 'Open API Testing' ch? ra tr?ng tìm là kiểm thử API (integration testing), không phải sinh unit test tự động cho Java/Python. Abstract snippet cung không đề cập đến unit test.",,
99,"A Poth, O Rrjolli, H Wang",Benchmarking AI-Facilitated UI Test-Script Generation: A Reproducible Evaluation Framework,2025,European Conference on Software Process ,Springer,https://link.springer.com/chapter/10.1007/978-3-032-04288-0_9,"https://scholar.google.com/scholar?cites=3543824390753510749&as_sdt=2005&sciodt=0,5&hl=en"," enables dynamic interaction tracking and semantic test-case generation via LLMs.  a LLM generated Java Selenium step definition code and subsequent manual refinement, the Python ",,"https://scholar.google.com/scholar?q=related:XWU65YExLjEJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-O: Bi bo tập trung vào sinh test script cho UI testing (Selenium), không phải unit test tự động.",,
100,"PC Caizares, P Gmez-Abajo, E Guerra",Towards metamorphic testing with LLM-based workflows: Metamorphic relation inference and follow-up test case generation,2026,Information and Software ,Elsevier,https://www.sciencedirect.com/science/article/pii/S0950584926001394,"https://scholar.google.com/scholar?cites=750261106208058204&as_sdt=2005&sciodt=0,5&hl=en"," We propose a taxonomy of MT tasks amenable to LLM-based assistance, and an extensible architecture for their automation. The MT tasks are accessible via a conversational assistant, ",https://repositorio.uam.es/bitstreams/971b5a34-1148-46b8-a51f-35d8b19c5cae/download,"https://scholar.google.com/scholar?q=related:XKtSRIB2aQoJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P: Bi bo tập trung vào metamorphic testing (suy di?n metamorphic relation và sinh follow-up test case), không phải sinh unit test tự động cho Java/Python.",,
101,"A Faraji, N Pombo","AI-Driven Software Test Automation: An AI4SE-Oriented Survey of Techniques, Tools, and Challenges",2025,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11208623/,"https://scholar.google.com/scholar?cites=1849041969872956415&as_sdt=2005&sciodt=0,5&hl=en"," 1) TEST CASE GENERATION Test case generation remains  source code (eg, Java, Python) or intermediate representations   LLM-based Testing: LLMs such as GPT-4 and LLaMA are ",https://ieeexplore.ieee.org/iel8/6287639/6514899/11208623.pdf,"https://scholar.google.com/scholar?q=related:_-sQ_d8dqRkJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
